Unnamed: 0,author,creation_date,expiry,last_reply,parent_category,price,replies,saving,source,thread_category,title,views,votes
4,markolic,"Jul 11th, 2020 10:49 pm",,"Jul 15th, 2020 3:31 pm",Computers & Electronics,350,74,,Amazon.ca,Cell Phones,nokia 5.3 $349,14181,9
5,kbaboolal,"Jul 13th, 2020 1:18 pm",,"Jul 15th, 2020 3:27 pm",,,19,,Esso,Automotive,YMMV Esso Car Washes 50% off on Mondays,4014,8
6,ashwani2k,"Jul 15th, 2020 11:35 am",,"Jul 15th, 2020 3:18 pm",,,13,,Amazon.ca,Computers & Electronics,$33.99: SanDisk 200GB Ultra Microsdxc UHS-I Memory Card,3619,6
7,LeifS39303,"Jul 10th, 2020 10:36 pm","July 26, 2020","Jul 15th, 2020 2:46 pm",Computers & Electronics,$724.99,78,$225 off.,Best Buy Mobile,Cell Phones,HOT! Open Box Samsung Galaxy Note 10/10+ $725 and $875!!!,21842,6
8,FrontlineWorker6,"Jul 15th, 2020 2:07 pm","July 16, 2020","Jul 15th, 2020 2:16 pm",Computers & Electronics,,2,,2001 Audio Video,Home Theatre & Audio,"Hisense 65"" 4k ultra Hd $647 2 year warranty sold by 2001 Audio Video",869,-1
9,Strafe1,"Jul 15th, 2020 2:12 pm","July 21, 2020","Jul 15th, 2020 2:12 pm",,$1.97,0,$1.50,Giant Tiger,Home & Garden,Mr. Clean Magic Eraser $1.97 - 2 Pack -ON YMMV,643,1
10,overboost,"Jul 12th, 2020 5:24 pm",,"Jul 15th, 2020 2:06 pm",,,41,,Costco,Groceries,GTA - Beef brisket $8.99/kg AAA,10012,9
11,ashwani2k,"Jul 15th, 2020 11:33 am",,"Jul 15th, 2020 1:56 pm",,,11,,Amazon.ca,Computers & Electronics,$29.99: SanDisk 128GB Extreme microSDXC UHS-I Memory Card with Adapter,1650,-7
12,cluie29,"Jul 13th, 2020 12:49 pm",,"Jul 15th, 2020 1:36 pm",,59.99,33,$20 Off,Amazon.ca,Computers & Electronics,Anker Soundcore Life P2 True Wireless Earbuds $59.99,4977,2
13,awais,"Jul 14th, 2020 11:55 am",,"Jul 15th, 2020 1:23 pm",Computers & Electronics,25.19,7,,Amazon.ca,Peripherals & Accessories,SoundPeats Q12 Bluetooth Earbuds - $25,2146,-2
14,Blubbs,"Jul 12th, 2020 12:13 pm",,"Jul 15th, 2020 1:01 pm",Computers & Electronics,$387,38,,Best Buy,Peripherals & Accessories,"Asus 28"" 4k IPS with full ergonomic stand open box $366",10788,6
15,Cheapo-Findo,"Jul 15th, 2020 12:38 pm","July 21, 2020","Jul 15th, 2020 1:00 pm",,3.99,2,,,Restaurants,Ginos Pizza College St Toronto - $3.99 Medium 3 topping (First one gets it),923,-14
16,ryansluman,"May 12th, 2020 11:03 pm","January 1, 2021","Jul 15th, 2020 12:56 pm",,,262,,,Financial Services,Get $50 when you send your first $100 global money transfer abroad,43459,22
17,baconape,"Jul 10th, 2020 8:38 am","July 13, 2020","Jul 15th, 2020 12:50 pm",Computers & Electronics,5.99,52,80%,Microsoft Store,Video Games,Xbox One Grand Theft Auto V: Premium Edition $5.99 (Targeted YMMV),9206,9
18,NuF518600,"Jul 14th, 2020 3:59 pm","July 16, 2020","Jul 15th, 2020 12:47 pm",Home & Garden,153.9,9,,Best Buy,Home Improvement & Tools,Airthings Corentium Radon meter 153.9$,2549,8
19,CostcoIsBestco,"Jun 12th, 2020 12:22 pm",,"Jul 15th, 2020 12:38 pm",,,338,,Costco,Groceries,$60 Off $100+ Purchase Online Voucher New Memberships Only,90542,130
20,Daijoubu,"Jul 15th, 2020 11:22 am",,"Jul 15th, 2020 12:23 pm",Entertainment,30,1,42%,Amazon.ca,"Books, Music, Movies, Magazines",[WARM] $30 Mission: Impossible 6 Movie Collection [Blu-ray],657,1
21,SamG852,"Jul 15th, 2020 11:06 am","July 17, 2020","Jul 15th, 2020 12:01 pm",Entertainment,0.00,1,100,Amazon.ca,"Books, Music, Movies, Magazines",popsicle cookbook free e-book digital only,929,11
22,roccerfeller,"Jul 8th, 2020 4:32 pm","July 23, 2020","Jul 15th, 2020 11:36 am",Computers & Electronics,3.99,14,90% off,,Video Games,PSN Far Cry for PS4 prices - 3.99 to 19.99,4723,13
23,toyorav4me,"Jul 15th, 2020 8:18 am","July 15, 2020","Jul 15th, 2020 11:05 am",,,13,,Amazon.ca,Computers & Electronics,Up to 25% off Sandisk Memory,1721,5
24,taylur,"Jul 2nd, 2020 7:50 pm",,"Jul 15th, 2020 10:49 am",,199.98,46,40% off,Sport Chek,Sports & Fitness,Marmot Catalyst 3 Person Tent with Footprint ($199.98),12076,15
25,juldum,"Jun 3rd, 2020 7:00 pm","June 5, 2020","Jul 15th, 2020 10:35 am",,463.67,120,,Dell,Computers & Electronics,"UltraSharp 27"" 1440p 60 Hz USB-C IPS Monitor (U2719DC) 463$",28596,13
26,naryn40,"Jun 26th, 2020 12:52 am",,"Jul 15th, 2020 10:33 am",Computers & Electronics,379.99,49,,Amazon.ca,Peripherals & Accessories,"Samsung UR55 28"" 4k Monitor $379.99",15624,14
27,harold_callahan,"Jul 15th, 2020 9:09 am",,"Jul 15th, 2020 10:10 am",Computers & Electronics,$106.00,4,23% Off,Amazon.ca,Peripherals & Accessories,Samsung Galaxy Buds - Black | 23% Off | $106,1782,7
28,Jackji,"Jul 12th, 2020 7:09 pm",,"Jul 15th, 2020 10:05 am",Computers & Electronics,419.99,54,,Canadian Tire,Televisions,"Sharp 4K Roku Smart TV, 58-in - 419.99",9635,4
29,6060842,"Jul 15th, 2020 8:20 am",,"Jul 15th, 2020 8:20 am",,,-1,,Foodbasics,,"50 cent Mangoes ! GTA , Kitchener, London",554,0
0,slammergu,"Jul 4th, 2020 9:04 am",,"Jul 15th, 2020 7:47 am",Home & Garden,399,56,,Home Depot,Home Improvement & Tools,Free tools with Milwaukee Tool M18 18V HIGH OUTPUT Starter Kit $399,14379,10
1,miisaka,"May 23rd, 2020 7:43 pm",,"Jul 15th, 2020 5:38 am",,,69,50%,,Apparel,Mackage Outerwear 50% off,27967,16
2,rb,"Jul 8th, 2020 10:08 am","July 20, 2020","Jul 15th, 2020 4:24 am",Restaurants,Free,25,,,Fast Food,Free mama burger A& W app ymmv,6540,4
3,immad01,"Jul 14th, 2020 10:21 am",,"Jul 15th, 2020 1:29 am",,$67.99,1,,Amazon.ca,Computers & Electronics,"Silicon Power 512GB SSD 3D NAND TLC A58 Performance Boost SATA III 2.5"" 7mm (0.28"") Internal SSD for $67.99",2167,3
4,officer416,"Jul 1st, 2020 12:26 am",,"Jul 15th, 2020 1:00 am",Computers & Electronics,$1169,56,,Dell,Computers & Tablets/eReaders,Cyber Savings Event Alienware Monitor AW3420DW $1169,20305,2
5,Strychinine,"Jul 11th, 2020 11:26 pm",,"Jul 15th, 2020 12:36 am",Computers & Electronics,25.99,5,48%,Amazon.ca,Peripherals & Accessories,"$25.99 AUKEY 10000mAh Power Bank, 18W USB-C Portable Charger",4097,-4
6,wearysky,"May 7th, 2020 11:52 am",,"Jul 15th, 2020 12:27 am",,,408,,,Groceries,Brewery Delivery/Pickup Deals (ON),78629,107
7,Messerschmitt,"May 26th, 2020 6:58 pm","September 30, 2020","Jul 15th, 2020 12:18 am",Financial Services,,388,,CIBC,Banking & Investing,CIBC Global Money Transfer. Now $75 bonus,71727,56
8,ragin_pyro,"Jul 6th, 2020 10:59 pm","July 13, 2020","Jul 14th, 2020 11:48 pm",,,172,10-25% off,Sport Chek,Sports & Fitness,Sport Chek and Atmosphere: Friends and Family event 10-25% off,51180,43
9,kevinkuo,"Jul 10th, 2020 11:03 am",,"Jul 14th, 2020 11:42 pm",,19.99,18,33% off,Newegg,Computers & Electronics,SanDisk 64GB High Endurance microSDXC $19.99 (+ Shipping),4974,-6
10,sprung,"Jul 14th, 2020 11:03 pm",,"Jul 14th, 2020 11:42 pm",Automotive,$110.49,2,,Amazon.ca,Auto Parts & Accessories,Amazon - $110.49 AWESAFE Mirror Dash Cam 12 Inch Full Touch Screen. Dual 1080P,1659,-2
11,tseivan,"Jul 14th, 2020 8:17 pm","July 16, 2020","Jul 14th, 2020 11:00 pm",Computers & Electronics,$499,9,$200 off,Best Buy,Televisions,"Toshiba 55"" 4K UHD HDR LED Smart TV (55LF621C21) - Fire TV Edition $499",2170,0
12,Polymertank,"Jul 8th, 2020 7:31 pm",,"Jul 14th, 2020 10:53 pm",,1491,73,50%,Home Depot,Home & Garden,Weber summit S470 natural gas BBQ 50% off,25148,4
13,tonershop,"Jun 17th, 2020 3:09 pm",,"Jul 14th, 2020 10:39 pm",Computers & Electronics,559,328,68% off,Lenovo Canada,Computers & Tablets/eReaders,"Lenovo Nano Desktop: i5-8265U, 8GB, 512GB SSD, Win 10 Pro $559 - 8% rebate",87989,90
14,essjayess,"Jul 3rd, 2020 8:04 pm",,"Jul 14th, 2020 10:35 pm",,$7.92,51,,Amazon.ca,Groceries,"La Grille Montreal Steak Spice Seasoning, 825g, $7.92",14430,39
15,zaibii786,"Jul 9th, 2020 10:55 am","July 10, 2020","Jul 14th, 2020 10:30 pm",,$2.48,52,,,Groceries,"Cavendish FlavorCrisp $2.48 - 3,000 PC Points",17671,0
16,CauseBurn,"Jun 28th, 2020 9:04 pm",,"Jul 14th, 2020 10:27 pm",Entertainment,30.99,29,43% Off,Amazon.ca,"Books, Music, Movies, Magazines",The Art of the Last of Us Part II Hardcover ($53.99 - 43% = $30.99),10965,0
17,all3nb,"Jul 12th, 2020 8:28 pm",,"Jul 14th, 2020 10:21 pm",,19.99,33,80-90% off,,Apparel,Oakley Cycling Jerseys and Bibs,9978,34
18,Guy In A Bucket,"Jul 8th, 2020 10:36 am",,"Jul 14th, 2020 10:17 pm",Computers & Electronics,$279,34,,Amazon.ca,Cameras,Anker eufyCam Wireless 2-Camera Security System $279.99 (Reg. $400),8357,3
19,Diafel,"Jul 12th, 2020 4:19 am",,"Jul 14th, 2020 10:16 pm",Computers & Electronics,299.99,45,,eBay.ca,Computers & Tablets/eReaders,Asus GTX 1660 Super - $299.99,7997,0
20,Inter01fan,"Jun 1st, 2020 10:25 am",,"Jul 14th, 2020 10:11 pm",Computers & Electronics,,235,,Costco,Televisions,Hisense Q7G 55'' 4K ULED TV $597 w/ FS,51261,15
21,saurez7777,"Jul 13th, 2020 11:13 am",,"Jul 14th, 2020 9:51 pm",,,1,,Home Depot,Home & Garden,Rakuten 5% cash back,2008,15
22,mandm1209,"Jul 14th, 2020 9:41 pm",,"Jul 14th, 2020 9:45 pm",Automotive,$4,1,,Dollarama,Other,Papermate Mechanical Pencils 24ct,1583,0
23,JRGUINNESS,"May 20th, 2020 7:03 pm",,"Jul 14th, 2020 9:38 pm",Financial Services,,56,,TD First Class Visa Infinite,Credit Cards,Free $50 Gift Card for TD First Class Travel Visa Infinite Card Holders,17536,5
24,cheapshopper,"Jul 10th, 2020 6:47 pm","July 23, 2020","Jul 14th, 2020 9:32 pm",,,26,100%,,Groceries,[YMMV] Get 50 Bonus AirMiles when you buy almost anything in-store,3772,7
25,Krime1k,"Jul 14th, 2020 12:25 am",,"Jul 14th, 2020 9:30 pm",Kids & Babies,,2,,Walmart,Toys & Games,LEGO Classic Medium Creative Brick Box 10696 - $27.86,2752,7
26,Scott M.,"Jul 8th, 2020 9:50 pm",,"Jul 14th, 2020 9:05 pm",Computers & Electronics,243.13,13,33%,,Cell Phones,Ticwatch Pro 2020 for 33% off (now 243.13 all-in)... or cheaper?,4685,0
27,Keenoz,"Jul 13th, 2020 6:18 am","July 20, 2020","Jul 14th, 2020 9:05 pm",Computers & Electronics,,47,80-85%,,Video Games,[Uplay/Steam] Far Cry 5 (11.99$) - Far Cry 4 (7.99$) - Far Cry 3 (3.90$),6577,17
28,mymuro,"Jul 11th, 2020 12:20 am","July 14, 2020","Jul 14th, 2020 8:56 pm",Entertainment,,59,,Microsoft Store,"Books, Music, Movies, Magazines","Naruto, Steins Gate, Sword Art Online, Overlord *Free",20397,125
29,DealMonk,"Jul 5th, 2020 12:30 am",,"Jul 14th, 2020 8:13 pm",Computers & Electronics,89,4,55% off,Urban Outfitters,Home Theatre & Audio,Marshall Major III Bluetooth Headphones $89.00 - White and Black color only,3488,3
0,redflagdealsguy,"Jun 21st, 2020 1:18 am",,"Jul 14th, 2020 8:08 pm",,449.00,287,,Amazon.ca,Computers & Electronics,"Acer Aspire 5 Slim Laptop [Tinkerer Rig] - $449 + Upgrade Costs - Ryzen 3 3200U + 15.6"" IPS FHD",57770,91
1,SammyC,"Jul 13th, 2020 8:47 am",,"Jul 14th, 2020 8:00 pm",Home & Garden,69.99,12,,Costco,Other,Global NI Oriental 20 cm (8 in.) Chef's Knife - 69.99$ (Online),2892,6
2,immad01,"Jul 14th, 2020 8:00 pm",,"Jul 14th, 2020 8:00 pm",Computers & Electronics,$599.99,0,,Amazon.ca,Televisions,Insignia 58-inch 4K UHD HDR LED Smart TV - Fire TV Edition for $599.99,851,-3
3,Carlosf1,"Jun 12th, 2020 1:30 pm",,"Jul 14th, 2020 7:51 pm",,45.96/41.8,59,,,Computers & Electronics,Pre Order Xiaomi Mi Band 5 Smart Bracelet 4 Color AMOLED Screen - C$45.96 / C$41.82 With Code (New Users) ,15570,13
4,sprung,"Jul 14th, 2020 2:03 pm",,"Jul 14th, 2020 7:49 pm",Sports & Fitness,,9,,,Equipment,Toronto Bike Share deals for CAA members,1955,5
5,TinkerPhil,"Jul 7th, 2020 10:12 pm","July 8, 2020","Jul 14th, 2020 7:23 pm",Home & Garden,894,11,,Home Depot,Appliances,YMMV LG washing machine WM3800HB for $894,4086,-1
6,secretalcoholic,"Jul 2nd, 2020 12:21 am","December 31, 2020","Jul 14th, 2020 6:59 pm",Computers & Electronics,15 USD,41,,Microsoft,Other,$15 USD Azure & O365 Certification Exams for COVID-19 affected individuals,11136,24
7,madmathd,"Jul 14th, 2020 12:27 pm",,"Jul 14th, 2020 6:54 pm",Home & Garden,299.97,3,50% OFF,,Appliances,SUPER SPECIAL $299.97 Cusinox Super Elite 10 PIECE Cookware Set,1419,2
8,Quek27,"Jul 14th, 2020 6:39 pm",,"Jul 14th, 2020 6:39 pm",Computers & Electronics,Free,0,100%,STEAM,Video Games,Ninja Kiwi Archive Flash Versions FREE,1295,0
9,DrDoomsday,"Jul 4th, 2020 2:35 pm",,"Jul 14th, 2020 6:34 pm",Financial Services,,82,,,Banking & Investing,Simplii just upped their game- get $75 for sending your first GMT of $100 (plus an additional $25 ~ $50 for referral),19379,30
10,mr_clark,"Jul 14th, 2020 12:10 pm","July 15, 2020","Jul 14th, 2020 6:29 pm",Computers & Electronics,,1,,,Video Games,Hard Reset Redux - $1.75US - 91% off [Steam],861,1
11,elfion,"May 25th, 2020 2:37 pm","June 20, 2020","Jul 14th, 2020 6:00 pm",Computers & Electronics,142 CAD,229,40%,,Cell Phones,UMIDIGI A7 Pro - $142,38772,-11
12,oicthat2013,"Jul 7th, 2020 10:38 am","September 7, 2020","Jul 14th, 2020 5:58 pm",,,66,,McDonalds,Restaurants,"$1 Cone and $2 Sundae summer promotion starting July 14, 2020",18203,44
13,jackrabbit000,"Jul 13th, 2020 2:34 pm",,"Jul 14th, 2020 5:52 pm",Sports & Fitness,24.49,46,30%,Amazon.ca,Clothing & Accessories,ASHLIN Men's Bi-fold Wallet w/16 Card Pockets - $24.49 or 30% Off,7204,-8
14,Dave98,"Jul 13th, 2020 1:26 pm",,"Jul 14th, 2020 5:27 pm",Computers & Electronics,47.99,30,,Amazon.ca,Peripherals & Accessories,RAVPower GaN 90w 2-Port PD USBC Fast Charger - $47.99,5417,13
15,SohSay,"Jul 14th, 2020 12:25 pm",,"Jul 14th, 2020 4:59 pm",Kids & Babies,,5,,,School Supplies,"$1.25 each - 64 crayons, 24 pencils, 8 stick glue",1426,8
16,petercxc,"Jul 1st, 2020 10:52 am",,"Jul 14th, 2020 4:38 pm",Entertainment,$23,94,,Amazon.ca,"Books, Music, Movies, Magazines","Dudios True Wireless Earbuds, Stereo in-Ear Bluetooth 5.0 Mini Earphone -$23",26934,39
17,KoukiMonster,"Jul 6th, 2020 7:12 pm","August 31, 2020","Jul 14th, 2020 4:12 pm",Financial Services,,7,,Royal Bank,Credit Cards,WestJet Credit Card 2X rewards on Groceries & Restaurants,2117,5
18,Niffler,"Jul 14th, 2020 3:54 pm","October 31, 2020","Jul 14th, 2020 4:08 pm",Travel,,3,100%,TD First Class Visa Infinite,Other,[YMMV] Free $50 e-gift card from TD/UGO,1522,1
19,lifeisfuneh,"Jun 30th, 2020 8:25 am","July 13, 2020","Jul 14th, 2020 3:56 pm",Computers & Electronics,,49,up to 42%,,Cameras,"Waterproof modular Action Camera Insta360 Twin edition One R 360+4K mod C$518 tax in, free stick + free S/H by DHL",10001,12
20,moronicalgenius,"Jul 13th, 2020 7:54 pm",,"Jul 14th, 2020 3:27 pm",Home & Garden,,12,$10 off,Rens Pets Depot,Pets,$10 off at Ren's Pets,1431,3
21,Bishop8,"Jul 13th, 2020 2:15 pm",,"Jul 14th, 2020 3:26 pm",Computers & Electronics,99.99,10,,,Home Theatre & Audio,Anker Spirit X2,5818,5
22,el'ation,"Jun 15th, 2020 12:52 pm",,"Jul 14th, 2020 3:07 pm",,$15,119,,Costco,Groceries,Costco.ca Free-Range Argentinian Beef $79.99 - $99.99,23223,-6
23,dagiles22,"Jun 17th, 2020 11:42 am","July 15, 2020","Jul 14th, 2020 2:32 pm",Computers & Electronics,40.50 +tax,43,10% w BYOD,,Cell Phones,Cityfone $45 - 6GB unlimited CAN calling + texting,11235,2
24,amit33853,"Jul 8th, 2020 11:25 am",,"Jul 14th, 2020 2:23 pm",Home & Garden,$98,13,$202 off,Visions Electronics,Outdoors & Patio,Monster GLO2 outdoor bluetooth speaker for sale $98,2532,3
25,dskum,"Jul 13th, 2020 10:23 am",,"Jul 14th, 2020 1:49 pm",Home & Garden,14.99,5,,Princess Auto,Other,4 pc 3 Wheel Dolly Set - 14.99,3037,2
26,immad01,"Jul 10th, 2020 5:11 pm",,"Jul 14th, 2020 1:43 pm",Entertainment,$36.00,30,,East Side Marios,Other,Family PIZZA/PASTA deal for 4 - $36 (only valid for delivery or pickup),6156,-18
27,avatar12,"Jul 10th, 2020 7:06 pm",,"Jul 14th, 2020 1:05 pm",Computers & Electronics,Free,13,100%,,Video Games,Ghost of Tsushima dynamic theme - Free,7685,60
28,Siye,"Jul 1st, 2020 12:22 pm",,"Jul 14th, 2020 12:58 pm",,,1,20% off,,Groceries,Tea Sante - 20% Off Sitewide (OHCANADA),979,0
29,beardlessBard,"Jul 13th, 2020 11:41 pm",,"Jul 14th, 2020 12:54 pm",,14.92,5,35% off,Amazon.ca,Home & Garden,Keaty manual ceramic coffee burr grinder - $14.92 (35% off),3187,9
0,lebrond,"Jul 14th, 2020 12:50 pm",,"Jul 14th, 2020 12:50 pm",Computers & Electronics,14.36,0,,Amazon.ca,Cell Phones,Beemoon Car Phone Mount $14.36,1221,1
1,Leloiboi,"Jul 14th, 2020 7:33 am",,"Jul 14th, 2020 12:42 pm",,94.99,18,,Amazon.ca,Computers & Electronics,WD Black SN750 500GB M2 NVME SSD - $94.99,2712,3
2,rsg1010,"Jul 13th, 2020 12:24 pm","July 23, 2020","Jul 14th, 2020 12:29 pm",Computers & Electronics,,21,,,Other,Ebay - Take $5 off minimum purchase of $5.01 YMMV,4155,-4
3,chardo,"Jul 14th, 2020 11:37 am",,"Jul 14th, 2020 12:24 pm",Beauty & Wellness,2.00,5,56% off,Walmart,Beauty Supplies & Personal Care,Crest Pro-Health Whitening Power Toothpaste & Crest Pro-Health Multi-Protection Cool Wintergreen Mouthwash,925,-2
4,tonershop,"Jul 14th, 2020 11:43 am",,"Jul 14th, 2020 12:07 pm",Computers & Electronics,29.99,2,10,Amazon.ca,Peripherals & Accessories,AUKEY Wireless Charging Power Bank 8000mAh $29.99,1097,-1
5,kk33tm,"Jul 13th, 2020 1:19 pm",,"Jul 14th, 2020 12:05 pm",Computers & Electronics,1299.99,14,,Dell,Computers & Tablets/eReaders,"Dell G5 Desktop i7-9700K, GTX 1660 Ti $1300",3176,0
6,Jepboi,"Jul 6th, 2020 9:29 pm","July 12, 2020","Jul 14th, 2020 12:05 pm",,,49,30%,,Computers & Electronics,Gen 5 Smartwatch The Carlyle HR Black Stainless Steel $205,11419,15
7,amma7853,"Jul 12th, 2020 4:02 pm",,"Jul 14th, 2020 12:02 pm",,439.99,21,,Newegg,Computers & Electronics,Palit GeForce RTX 2060 StormX video card - $439,3674,-3
8,chadw01,"May 23rd, 2020 9:14 am",,"Jul 14th, 2020 11:53 am",Computers & Electronics,,319,,Visions Electronics,Televisions,"Hisense 55"" Q8G Series 4K ULED Android TV with Quantum Dot Technology - $698 w/fs",60949,25
9,AramisAtos,"Jun 18th, 2020 3:20 pm",,"Jul 14th, 2020 10:47 am",,,101,70%,,Apparel,Levi's Warehouse Sale Event 70% off,38796,60
10,gamzerz,"Jul 8th, 2020 1:31 pm",,"Jul 14th, 2020 10:30 am",Computers & Electronics,$146.87,6,39% off,Amazon.ca,Home Theatre & Audio,Etymotic Research Etymotic ER3XR Earphones - $146.87,3071,5
11,szaurus,"Jul 14th, 2020 7:07 am",,"Jul 14th, 2020 10:10 am",Computers & Electronics,,4,,Amazon.ca,Computers & Tablets/eReaders,"Lenovo V14-ARE 82DQ000PUS 14"" Notebook - Ryzen 5 4500U - 8 GB RAM - 256 GB SSD - C$780.84",1669,1
12,toguy,"Jul 13th, 2020 9:25 am",,"Jul 14th, 2020 9:50 am",Restaurants,,13,,New York Fries,Fast Food,New York Fries - BOGO Fries (must have Fry Society account) - Jul 13-20,2748,5
13,immad01,"Jul 13th, 2020 9:03 pm","July 31, 2020","Jul 14th, 2020 9:28 am",,$27.97,3,,Princess Auto,Home & Garden,**Power Fist** Telescoping Aluminum Tree Pruner for $27.97,2854,4
14,essjayess,"Jul 8th, 2020 11:28 pm",,"Jul 14th, 2020 9:12 am",Small Business,$0.65,9,,Amazon.ca,Office Supplies,"Prang Vinyl White Block Erasers, Medium, Box of 24, $0.65 (Add-on Item)",3801,8
15,NixxonExxo,"Jun 27th, 2020 8:21 pm","July 2, 2020","Jul 14th, 2020 9:11 am",Computers & Electronics,24.99,106,,,Telecom,Cable Internet 75Mb - $24.99 first month/$44.99 after | 150Mb - $34.99 first month/$54.99 after (New customers only),19654,-58
16,hill15,"Jul 14th, 2020 8:38 am",,"Jul 14th, 2020 8:38 am",Kids & Babies,$14.00,0,,Walmart,Toys & Games,Imaginext Disney Pixar Toy Story 4 Carnival Playset $14 (Reg. $39.94),1178,2
17,Yototo005,"Mar 15th, 2020 11:53 am",,"Jul 14th, 2020 5:45 am",Entertainment,,47,,,Events & Attractions,Free streaming opera starting tonight,31920,46
18,fangdragon2000,"Jul 9th, 2020 11:51 am",,"Jul 14th, 2020 4:09 am",Computers & Electronics,"139,99",72,30$,Amazon.ca,Peripherals & Accessories,ADATA USA Ultimate Su800 1TB 3D Nand 2.5 Inch SATA III Internal Solid State Drive 139.99$,11149,4
19,ES_Revenge,"Jul 14th, 2020 12:46 am",,"Jul 14th, 2020 3:11 am",Beauty & Wellness,$140.00,7,50%,Walmart,Beauty Supplies & Personal Care,Oral-B Genius 8000 Black *in-store only* clearance $140,2146,2
20,unshavenyak,"May 17th, 2020 12:40 pm",,"Jul 14th, 2020 2:36 am",Home & Garden,$287.99,142,26%,Bed Bath And Beyond,Appliances,[Hot] Baratza Sette 30 Conical Burr Grinder - $287.99,33217,16
21,Drewloo,"Jul 14th, 2020 1:10 am","July 19, 2020","Jul 14th, 2020 1:52 am",Sports & Fitness,,3,40%,,Clothing & Accessories,40% OFF Watches + Jewelry (FREE SHIPPING),1703,-2
22,Krime1k,"Jul 14th, 2020 1:40 am",,"Jul 14th, 2020 1:40 am",Kids & Babies,,0,,Walmart,Toys & Games,LEGO - THE LEGO MOVIE 2 Emmet’s Thricycle! 70823 - $15.89,1623,0
23,2Riskit,"Jul 12th, 2020 9:45 am",,"Jul 14th, 2020 1:29 am",Computers & Electronics,$ 79.99,19,,Amazon.ca,Peripherals & Accessories,Corsair Semi-Modular ATX CX650M Power Supply CP-9020103-NA $ 79.99,3614,1
24,growler,"Jul 13th, 2020 3:57 pm","July 14, 2020","Jul 14th, 2020 1:27 am",Computers & Electronics,$289.99,16,$60 off,Costco,Other,Costco.ca: AOC 24G2E5 - 24in. FHD IPS Monitor - 2 Pack $289.99,5792,10
25,dskum,"Jul 10th, 2020 5:12 pm",,"Jul 14th, 2020 1:19 am",Home & Garden,34.76,20,,Home Depot,Home Services & Repairs,Kidde Talking CO Smoke detector on sale (Battery only) - $34.76,4313,5
26,WilliamS17867,"May 21st, 2020 7:13 pm",,"Jul 14th, 2020 1:07 am",Home & Garden,$366.33,107,,Home Depot,Home Improvement & Tools,Milwaukee Mitre Saw 6955-20 with free stand,36910,20
27,bigfishman,"Jun 4th, 2020 3:44 am","August 27, 2020","Jul 14th, 2020 12:04 am",Financial Services,,547,,American Express,Credit Cards,Amex Personal Platinum offer - $250 credits for everydays essentials and more!,85380,144
28,azia,"Jul 13th, 2020 4:12 pm",,"Jul 13th, 2020 11:53 pm",Sports & Fitness,,8,35%,,Other,Hydroflask (Various Styles and Colours) 35% Off,3681,5
29,Terabithia,"Jul 13th, 2020 9:49 pm",,"Jul 13th, 2020 11:24 pm",Computers & Electronics,23.99,3,50% off,Amazon.ca,Home Theatre & Audio,A2 LENRUE Portable Wireless Bluetooth Speaker ROSE GOLD - $23.99,1510,-2
0,Terabithia,"Jul 13th, 2020 9:49 pm",,"Jul 13th, 2020 11:24 pm",Computers & Electronics,23.99,3,50% off,Amazon.ca,Home Theatre & Audio,A2 LENRUE Portable Wireless Bluetooth Speaker ROSE GOLD - $23.99,1512,-2
1,hkhorace,"Jul 6th, 2020 9:56 am","July 12, 2020","Jul 13th, 2020 10:54 pm",,1300,85,$200 off,Costco,Automotive,Quickjack 7000slx $200 off - $1300,17398,27
2,xuisxu,"Jul 13th, 2020 8:59 pm",,"Jul 13th, 2020 10:25 pm",,,4,,Costco,Automotive,DK2 Hitch-mounted Cargo Carrier $81 after price match with homedepot,2499,2
3,Ethan15,"Jul 12th, 2020 11:02 pm",,"Jul 13th, 2020 10:08 pm",Home & Garden,450.98,3,$100 off,Best Buy,Appliances,[HOT] Breville Nespresso Creatista Uno $450 with $25 coffee credit,2644,-2
4,Inter01fan,"Jun 5th, 2020 11:24 pm",,"Jul 13th, 2020 10:03 pm",Computers & Electronics,897.99,183,,Costco,Televisions,Hisense Q7G 65 inch price drop to $897,41209,7
5,DealCanuck,"Mar 27th, 2020 3:03 pm",,"Jul 13th, 2020 9:22 pm",,$199.99,779,,Costco,Computers & Electronics,Western Digital Mybook 8tb $199.99,157899,64
6,getdeals111,"Jul 13th, 2020 8:25 pm",,"Jul 13th, 2020 9:16 pm",,699.99,6,,Costco,Computers & Electronics,"Acer Laptop 15.6 - i5 10th Gen, 12 GB DDR4, 512GB SSD - $699.99",2930,0
7,manho,"Jul 11th, 2020 10:37 pm",,"Jul 13th, 2020 9:12 pm",Home & Garden,$187.49,46,,Best Buy,Appliances,Honeywell Air Purifier HPA300 $187.49 ON only?,7674,4
8,marcfar,"Jul 13th, 2020 2:54 pm","July 16, 2020","Jul 13th, 2020 9:02 pm",,399,5,,Best Buy,Computers & Electronics,"Samsung 27"" 1440p WQHD 144Hz 4ms GTG VA LED Monitor (LS27R750QENXZA) - Black - $399",2191,-1
9,nGord,"Jul 13th, 2020 5:16 pm",,"Jul 13th, 2020 9:00 pm",Computers & Electronics,$395.76,16,,Amazon.ca,Computers & Tablets/eReaders,AMD Ryzen 7 3700X 8-core CPU for $395.76 (or even less at Newegg.com),3233,9
