original_index,is_outlier,begruendung,zielspalten_bewertet
0,True,"Ein einfaches Händedesinfektionsmittel für $6.99 ohne ausgewiesene Ersparnis zeigt mit 89 Antworten, 15.445 Aufrufen und 132 Votes ein extrem hohes Engagement, das für diesen unspektakulären Alltagsartikel deutlich unerwartet ist. Solche Standardprodukte ohne besonderen Deal-Charakter generieren typischerweise wesentlich weniger Interaktion.","['replies', 'views', 'votes']"
1,False,"Ein 20%-Coupon für RYOBI-Werkzeuge bei Home Depot ist ein attraktives Angebot, das hohes Interesse in der Home & Garden Community erklärt. Die Werte (441 Antworten, 59.219 Aufrufe, 159 positive Votes) sind für einen wertvollen Rabatt-Coupon eines beliebten Werkzeugherstellers plausibel und im erwartbaren Rahmen.","['replies', 'views', 'votes']"
2,False,"Ein kostenloses Angebot für verschreibungspflichtige Brillen ist sehr attraktiv und erklärt das hohe Engagement (25.242 Views, 92 Antworten, 54 Votes) plausibel. Solche Gratisaktionen erzeugen typischerweise großes Interesse und rege Diskussionen in Deal-Foren.","['replies', 'views', 'votes']"
3,False,"Ein Fat-Tire-Bike für ~470$ bei Costco ist ein solides Sportangebot, das moderate Diskussionen (13 Antworten) und Interesse (1769 Views) bei neutraler Bewertung (2 Votes) erwarten lässt. Das Engagement-Niveau passt zum Kontext eines Nischen-Sportprodukts im mittleren Preissegment.","['replies', 'views', 'votes']"
4,False,"Das Engagement (24 Antworten, 2981 Aufrufe, 9 Votes) ist für einen Automotive-Deal mit spezifischen Kreditkarten-Bonuspunkten bei Canadian Tire plausibel. Die moderate Interaktion passt zu einem Nischen-Angebot (YMMV = Your Mileage May Vary deutet auf eingeschränkte Verfügbarkeit hin), das für interessierte Zielgruppen relevant ist, aber keine breite Masse anspricht.","['replies', 'views', 'votes']"
5,True,"Ein Haarschneideset für $39.99 bei Costco mit YMMV (Your Mileage May Vary) zeigt extrem hohes Engagement: 112.880 Views und 261 Antworten sind für ein relativ einfaches Beauty-Produkt im mittleren Preissegment deutlich überdurchschnittlich. Dieses Engagement-Niveau wäre eher bei hochpreisigen, kontroversen oder außergewöhnlich attraktiven Deals zu erwarten.","['replies', 'views', 'votes']"
6,True,Die Anzahl der Antworten (280) ist für einfache Sandalen im mittleren Preissegment ($27.50) extrem hoch und steht in keinem plausiblen Verhältnis zu Views (50708) und Votes (118). Selbst bei attraktiven Deals für Herrenschuhe wäre ein solches Diskussionsvolumen für dieses Produkt deutlich ungewöhnlich.,"['replies', 'views', 'votes']"
7,True,"Die Anzahl der Antworten (157) ist im Verhältnis zu den Votes (27) und dem Kontext (Rasenmäher-Deal mit moderater Ersparnis) extrem hoch und deutet auf ungewöhnlich intensive Diskussionsaktivität hin, die für einen solchen Standard-Gartengeräte-Deal nicht typisch ist.","['replies', 'views', 'votes']"
8,True,"Ein 9-Gallonen-Aquarium für ~100$ ist ein relativ spezialisiertes Nischenprodukt mit begrenzter Zielgruppe. 71 Antworten bei 9571 Views und 29 Votes erscheinen für diesen Kontext ungewöhnlich hoch, da solche Produkte typischerweise deutlich weniger Diskussionsbedarf erzeugen.","['replies', 'views', 'votes']"
9,False,"Ein 28"" 4K IPS Monitor für ~328 CAD ist ein solides Angebot im Elektronikbereich. Die 862 Views und 5 Replies zeigen moderates Interesse, was für einen spezifischen Technik-Deal typisch ist. Die 0 Votes (neutral) passen zum Gesamtbild eines durchschnittlichen Deals ohne besondere Kontroverse oder außergewöhnliche Attraktivität.","['replies', 'views', 'votes']"
10,False,"Ein Telekommunikations-Deal mit 630 Views, 2 Antworten und -1 Vote ist im Kontext plausibel. Internetverträge sind relevante, aber nicht außergewöhnlich virale Themen, und das moderate Engagement bei leicht negativer Bewertung deutet auf normales Nutzerinteresse ohne besondere Auffälligkeiten hin.","['replies', 'views', 'votes']"
11,True,"Die Anzahl der Antworten (101) ist im Verhältnis zu den Votes (25) extrem hoch und ungewöhnlich für ein einfaches Spielgerät-Angebot bei Costco. Typischerweise würde man bei über 100 Antworten deutlich mehr Votes erwarten, was auf eine ungewöhnliche Diskussionsdynamik oder Kontroverse hindeutet, die nicht durch den Kontext eines Standard-Klettergerüsts erklärt wird.","['replies', 'views', 'votes']"
12,False,"Ein 65"" Samsung QLED TV mit 600$ Rabatt (Preis 1998$) ist ein attraktives Angebot im Premium-Segment, das plausibel 7974 Views, 28 Replies und 4 Votes generieren kann. Das Engagement-Niveau passt zum Kontext eines wertigen Elektronik-Deals mit substantieller Ersparnis.","['replies', 'views', 'votes']"
13,True,"Das Verhältnis von 209 Antworten bei nur 32 Votes ist extrem ungewöhnlich – typischerweise generieren Threads mit so vielen Diskussionsbeiträgen deutlich mehr Votes. Die hohe Anzahl an Replies im Vergleich zu den relativ niedrigen Votes deutet auf ein anomales Engagement-Muster hin, das nicht zum üblichen Verhalten in Deal-Foren passt.","['replies', 'views', 'votes']"
14,False,"Der AMD Ryzen 9 3900X ist ein High-End-Prozessor, der bei Technik-Enthusiasten großes Interesse weckt. Die 8168 Views, 46 Replies und 10 Votes sind für ein solches Premium-Produkt im Computers & Electronics-Bereich plausibel und spiegeln typisches Engagement für Hardware-Deals wider.","['replies', 'views', 'votes']"
